1383.000000	      2   0   4  19  18   3  19   9   6  12   0  10   3  12   8  18   0  11  12  16   6   1  14   9   3  13   1   8   5  14  18   8  12  18   3  15  13  13  15   9   4  16   5  19  13   3   7   5  17  10   9  17   1  14  16  10   4  16   8   8  10   1   1  18   8   4   5   2   1   8   0  13   7   8  19   2   5   9  11  13  15  18  11  12   7  16   1  13  10  18  15  19  12  17  10   2   9   2  19   2 
1383.000000	      2   0   4  19  18   3  19   9   6  12   0  10   3  12   8  18   0  11  12  16   6   1  14   9   3  13   1   8   5  14  18   8  12  18   3  15  13  13  15   9   4  16   5  19  13   3   7   5  17  10   9  17   1  14  16  10   4  16   8   8  10   1   1  18   8   4   5   2   1   8   0  13   7   8  19   2   5   9  11  13  15  18  11  12   7  16   1  13  10  18  15  19  12  17  10   2   9   2  19   2 
2725.000000	      3  19  13   3   3  15   7   0   3   2   9  13   2   7  11   0   0   4  15  12   2   9   2  19   9  14   9  10  12   2  18  18   8   4  12  19   5   5   3  14   4   8   8  15  13   2   4   0  18  12  12   6   4   1   7  10  16   7   5  18   4   0  12   8  15  18  14   7  19   0  10   7   4   0  12   1  11  15   6  18   3  11   5  18   1   6  13   2  17  19  17  18   4   3   3   4   5   6   7  15   3   3  14  11  12   3  15  19   1  15  15   0   7  11  12   3   1   4   6  15  10   4   8   8  12   8  19  18  11  11   3  13  18  10  17   7   3  14  16  16  17   6   0   1  19  15  12  15  11   0  11  10  19   5  18   0  13  19   0   2  19  12  10   2   9   1  12   2  19   6  17  14   9  13   8  12  19  15   8  18  16  16  14  13  12   5  10   8   6   0  12  12  10   2   6   9   4  10  13   9 
2725.000000	      3  19  13   3   3  15   7   0   3   2   9  13   2   7  11   0   0   4  15  12   2   9   2  19   9  14   9  10  12   2  18  18   8   4  12  19   5   5   3  14   4   8   8  15  13   2   4   0  18  12  12   6   4   1   7  10  16   7   5  18   4   0  12   8  15  18  14   7  19   0  10   7   4   0  12   1  11  15   6  18   3  11   5  18   1   6  13   2  17  19  17  18   4   3   3   4   5   6   7  15   3   3  14  11  12   3  15  19   1  15  15   0   7  11  12   3   1   4   6  15  10   4   8   8  12   8  19  18  11  11   3  13  18  10  17   7   3  14  16  16  17   6   0   1  19  15  12  15  11   0  11  10  19   5  18   0  13  19   0   2  19  12  10   2   9   1  12   2  19   6  17  14   9  13   8  12  19  15   8  18  16  16  14  13  12   5  10   8   6   0  12  12  10   2   6   9   4  10  13   9 
2725.000000	      3  19  13   3   3  15   7   0   3   2   9  13   2   7  11   0   0   4  15  12   2   9   2  19   9  14   9  10  12   2  18  18   8   4  12  19   5   5   3  14   4   8   8  15  13   2   4   0  18  12  12   6   4   1   7  10  16   7   5  18   4   0  12   8  15  18  14   7  19   0  10   7   4   0  12   1  11  15   6  18   3  11   5  18   1   6  13   2  17  19  17  18   4   3   3   4   5   6   7  15   3   3  14  11  12   3  15  19   1  15  15   0   7  11  12   3   1   4   6  15  10   4   8   8  12   8  19  18  11  11   3  13  18  10  17   7   3  14  16  16  17   6   0   1  19  15  12  15  11   0  11  10  19   5  18   0  13  19   0   2  19  12  10   2   9   1  12   2  19   6  17  14   9  13   8  12  19  15   8  18  16  16  14  13  12   5  10   8   6   0  12  12  10   2   6   9   4  10  13   9 
2725.000000	      3  19  13   3   3  15   7   0   3   2   9  13   2   7  11   0   0   4  15  12   2   9   2  19   9  14   9  10  12   2  18  18   8   4  12  19   5   5   3  14   4   8   8  15  13   2   4   0  18  12  12   6   4   1   7  10  16   7   5  18   4   0  12   8  15  18  14   7  19   0  10   7   4   0  12   1  11  15   6  18   3  11   5  18   1   6  13   2  17  19  17  18   4   3   3   4   5   6   7  15   3   3  14  11  12   3  15  19   1  15  15   0   7  11  12   3   1   4   6  15  10   4   8   8  12   8  19  18  11  11   3  13  18  10  17   7   3  14  16  16  17   6   0   1  19  15  12  15  11   0  11  10  19   5  18   0  13  19   0   2  19  12  10   2   9   1  12   2  19   6  17  14   9  13   8  12  19  15   8  18  16  16  14  13  12   5  10   8   6   0  12  12  10   2   6   9   4  10  13   9 
2725.000000	      3  19  13   3   3  15   7   0   3   2   9  13   2   7  11   0   0   4  15  12   2   9   2  19   9  14   9  10  12   2  18  18   8   4  12  19   5   5   3  14   4   8   8  15  13   2   4   0  18  12  12   6   4   1   7  10  16   7   5  18   4   0  12   8  15  18  14   7  19   0  10   7   4   0  12   1  11  15   6  18   3  11   5  18   1   6  13   2  17  19  17  18   4   3   3   4   5   6   7  15   3   3  14  11  12   3  15  19   1  15  15   0   7  11  12   3   1   4   6  15  10   4   8   8  12   8  19  18  11  11   3  13  18  10  17   7   3  14  16  16  17   6   0   1  19  15  12  15  11   0  11  10  19   5  18   0  13  19   0   2  19  12  10   2   9   1  12   2  19   6  17  14   9  13   8  12  19  15   8  18  16  16  14  13  12   5  10   8   6   0  12  12  10   2   6   9   4  10  13   9 
2725.000000	      3  19  13   3   3  15   7   0   3   2   9  13   2   7  11   0   0   4  15  12   2   9   2  19   9  14   9  10  12   2  18  18   8   4  12  19   5   5   3  14   4   8   8  15  13   2   4   0  18  12  12   6   4   1   7  10  16   7   5  18   4   0  12   8  15  18  14   7  19   0  10   7   4   0  12   1  11  15   6  18   3  11   5  18   1   6  13   2  17  19  17  18   4   3   3   4   5   6   7  15   3   3  14  11  12   3  15  19   1  15  15   0   7  11  12   3   1   4   6  15  10   4   8   8  12   8  19  18  11  11   3  13  18  10  17   7   3  14  16  16  17   6   0   1  19  15  12  15  11   0  11  10  19   5  18   0  13  19   0   2  19  12  10   2   9   1  12   2  19   6  17  14   9  13   8  12  19  15   8  18  16  16  14  13  12   5  10   8   6   0  12  12  10   2   6   9   4  10  13   9 
2725.000000	      3  19  13   3   3  15   7   0   3   2   9  13   2   7  11   0   0   4  15  12   2   9   2  19   9  14   9  10  12   2  18  18   8   4  12  19   5   5   3  14   4   8   8  15  13   2   4   0  18  12  12   6   4   1   7  10  16   7   5  18   4   0  12   8  15  18  14   7  19   0  10   7   4   0  12   1  11  15   6  18   3  11   5  18   1   6  13   2  17  19  17  18   4   3   3   4   5   6   7  15   3   3  14  11  12   3  15  19   1  15  15   0   7  11  12   3   1   4   6  15  10   4   8   8  12   8  19  18  11  11   3  13  18  10  17   7   3  14  16  16  17   6   0   1  19  15  12  15  11   0  11  10  19   5  18   0  13  19   0   2  19  12  10   2   9   1  12   2  19   6  17  14   9  13   8  12  19  15   8  18  16  16  14  13  12   5  10   8   6   0  12  12  10   2   6   9   4  10  13   9 
2725.000000	      3  19  13   3   3  15   7   0   3   2   9  13   2   7  11   0   0   4  15  12   2   9   2  19   9  14   9  10  12   2  18  18   8   4  12  19   5   5   3  14   4   8   8  15  13   2   4   0  18  12  12   6   4   1   7  10  16   7   5  18   4   0  12   8  15  18  14   7  19   0  10   7   4   0  12   1  11  15   6  18   3  11   5  18   1   6  13   2  17  19  17  18   4   3   3   4   5   6   7  15   3   3  14  11  12   3  15  19   1  15  15   0   7  11  12   3   1   4   6  15  10   4   8   8  12   8  19  18  11  11   3  13  18  10  17   7   3  14  16  16  17   6   0   1  19  15  12  15  11   0  11  10  19   5  18   0  13  19   0   2  19  12  10   2   9   1  12   2  19   6  17  14   9  13   8  12  19  15   8  18  16  16  14  13  12   5  10   8   6   0  12  12  10   2   6   9   4  10  13   9 
2725.000000	      3  19  13   3   3  15   7   0   3   2   9  13   2   7  11   0   0   4  15  12   2   9   2  19   9  14   9  10  12   2  18  18   8   4  12  19   5   5   3  14   4   8   8  15  13   2   4   0  18  12  12   6   4   1   7  10  16   7   5  18   4   0  12   8  15  18  14   7  19   0  10   7   4   0  12   1  11  15   6  18   3  11   5  18   1   6  13   2  17  19  17  18   4   3   3   4   5   6   7  15   3   3  14  11  12   3  15  19   1  15  15   0   7  11  12   3   1   4   6  15  10   4   8   8  12   8  19  18  11  11   3  13  18  10  17   7   3  14  16  16  17   6   0   1  19  15  12  15  11   0  11  10  19   5  18   0  13  19   0   2  19  12  10   2   9   1  12   2  19   6  17  14   9  13   8  12  19  15   8  18  16  16  14  13  12   5  10   8   6   0  12  12  10   2   6   9   4  10  13   9 
2725.000000	      3  19  13   3   3  15   7   0   3   2   9  13   2   7  11   0   0   4  15  12   2   9   2  19   9  14   9  10  12   2  18  18   8   4  12  19   5   5   3  14   4   8   8  15  13   2   4   0  18  12  12   6   4   1   7  10  16   7   5  18   4   0  12   8  15  18  14   7  19   0  10   7   4   0  12   1  11  15   6  18   3  11   5  18   1   6  13   2  17  19  17  18   4   3   3   4   5   6   7  15   3   3  14  11  12   3  15  19   1  15  15   0   7  11  12   3   1   4   6  15  10   4   8   8  12   8  19  18  11  11   3  13  18  10  17   7   3  14  16  16  17   6   0   1  19  15  12  15  11   0  11  10  19   5  18   0  13  19   0   2  19  12  10   2   9   1  12   2  19   6  17  14   9  13   8  12  19  15   8  18  16  16  14  13  12   5  10   8   6   0  12  12  10   2   6   9   4  10  13   9 
1951.000000	      4   2   1   3   1   0   3   0   2   0   3   1   1   2   4   4   1   2   0   4   1   0   4   2   3   1   4   0   2   2   0   2   2   4   2   0   3   2   3   0   4   4   0   3   2   1   1   2   4   3   2   0   4   4   3   1   3   0   1   1   0   0   3   4   3   4   3   0   2   1   3   1   4   4   1   4   0   2   0   0   1   3   2   3   0   2   3   1   1   4   1   1   3   3   3   2   4   0   2   4 
1951.000000	      4   2   1   3   1   0   3   0   2   0   3   1   1   2   4   4   1   2   0   4   1   0   4   2   3   1   4   0   2   2   0   2   2   4   2   0   3   2   3   0   4   4   0   3   2   1   1   2   4   3   2   0   4   4   3   1   3   0   1   1   0   0   3   4   3   4   3   0   2   1   3   1   4   4   1   4   0   2   0   0   1   3   2   3   0   2   3   1   1   4   1   1   3   3   3   2   4   0   2   4 
1951.000000	      4   2   1   3   1   0   3   0   2   0   3   1   1   2   4   4   1   2   0   4   1   0   4   2   3   1   4   0   2   2   0   2   2   4   2   0   3   2   3   0   4   4   0   3   2   1   1   2   4   3   2   0   4   4   3   1   3   0   1   1   0   0   3   4   3   4   3   0   2   1   3   1   4   4   1   4   0   2   0   0   1   3   2   3   0   2   3   1   1   4   1   1   3   3   3   2   4   0   2   4 
1951.000000	      4   2   1   3   1   0   3   0   2   0   3   1   1   2   4   4   1   2   0   4   1   0   4   2   3   1   4   0   2   2   0   2   2   4   2   0   3   2   3   0   4   4   0   3   2   1   1   2   4   3   2   0   4   4   3   1   3   0   1   1   0   0   3   4   3   4   3   0   2   1   3   1   4   4   1   4   0   2   0   0   1   3   2   3   0   2   3   1   1   4   1   1   3   3   3   2   4   0   2   4 
1951.000000	      4   2   1   3   1   0   3   0   2   0   3   1   1   2   4   4   1   2   0   4   1   0   4   2   3   1   4   0   2   2   0   2   2   4   2   0   3   2   3   0   4   4   0   3   2   1   1   2   4   3   2   0   4   4   3   1   3   0   1   1   0   0   3   4   3   4   3   0   2   1   3   1   4   4   1   4   0   2   0   0   1   3   2   3   0   2   3   1   1   4   1   1   3   3   3   2   4   0   2   4 
1951.000000	      4   2   1   3   1   0   3   0   2   0   3   1   1   2   4   4   1   2   0   4   1   0   4   2   3   1   4   0   2   2   0   2   2   4   2   0   3   2   3   0   4   4   0   3   2   1   1   2   4   3   2   0   4   4   3   1   3   0   1   1   0   0   3   4   3   4   3   0   2   1   3   1   4   4   1   4   0   2   0   0   1   3   2   3   0   2   3   1   1   4   1   1   3   3   3   2   4   0   2   4 
1951.000000	      4   2   1   3   1   0   3   0   2   0   3   1   1   2   4   4   1   2   0   4   1   0   4   2   3   1   4   0   2   2   0   2   2   4   2   0   3   2   3   0   4   4   0   3   2   1   1   2   4   3   2   0   4   4   3   1   3   0   1   1   0   0   3   4   3   4   3   0   2   1   3   1   4   4   1   4   0   2   0   0   1   3   2   3   0   2   3   1   1   4   1   1   3   3   3   2   4   0   2   4 
1951.000000	      4   2   1   3   1   0   3   0   2   0   3   1   1   2   4   4   1   2   0   4   1   0   4   2   3   1   4   0   2   2   0   2   2   4   2   0   3   2   3   0   4   4   0   3   2   1   1   2   4   3   2   0   4   4   3   1   3   0   1   1   0   0   3   4   3   4   3   0   2   1   3   1   4   4   1   4   0   2   0   0   1   3   2   3   0   2   3   1   1   4   1   1   3   3   3   2   4   0   2   4 
1951.000000	      4   2   1   3   1   0   3   0   2   0   3   1   1   2   4   4   1   2   0   4   1   0   4   2   3   1   4   0   2   2   0   2   2   4   2   0   3   2   3   0   4   4   0   3   2   1   1   2   4   3   2   0   4   4   3   1   3   0   1   1   0   0   3   4   3   4   3   0   2   1   3   1   4   4   1   4   0   2   0   0   1   3   2   3   0   2   3   1   1   4   1   1   3   3   3   2   4   0   2   4 
1951.000000	      4   2   1   3   1   0   3   0   2   0   3   1   1   2   4   4   1   2   0   4   1   0   4   2   3   1   4   0   2   2   0   2   2   4   2   0   3   2   3   0   4   4   0   3   2   1   1   2   4   3   2   0   4   4   3   1   3   0   1   1   0   0   3   4   3   4   3   0   2   1   3   1   4   4   1   4   0   2   0   0   1   3   2   3   0   2   3   1   1   4   1   1   3   3   3   2   4   0   2   4 
3503.000000	      1   4   4   4   4   2   0   1   4   2   4   1   3   1   0   0   2   4   4   0   0   4   1   4   1   3   3   4   0   4   1   0   0   2   2   0   0   3   0   1   3   0   1   2   3   3   3   3   4   3   0   2   3   3   0   1   2   2   1   0   4   1   2   0   4   1   0   2   2   1   3   4   2   3   3   2   2   0   0   2   4   4   1   2   4   2   4   3   3   2   1   2   1   3   1   1   1   4   3   0   3   2   0   0   1   1   2   1   4   3   2   0   4   1   2   3   1   2   2   3   1   4   4   3   0   1   0   1   1   4   1   0   0   0   2   0   4   2   4   0   4   2   1   4   0   1   3   4   2   3   3   3   3   1   3   4   3   0   4   0   4   1   0   0   2   3   3   2   4   2   3   1   4   4   4   0   3   4   1   0   0   4   1   3   1   3   0   2   4   2   4   0   0   3   2   1   1   1   0   3 
3503.000000	      1   4   4   4   4   2   0   1   4   2   4   1   3   1   0   0   2   4   4   0   0   4   1   4   1   3   3   4   0   4   1   0   0   2   2   0   0   3   0   1   3   0   1   2   3   3   3   3   4   3   0   2   3   3   0   1   2   2   1   0   4   1   2   0   4   1   0   2   2   1   3   4   2   3   3   2   2   0   0   2   4   4   1   2   4   2   4   3   3   2   1   2   1   3   1   1   1   4   3   0   3   2   0   0   1   1   2   1   4   3   2   0   4   1   2   3   1   2   2   3   1   4   4   3   0   1   0   1   1   4   1   0   0   0   2   0   4   2   4   0   4   2   1   4   0   1   3   4   2   3   3   3   3   1   3   4   3   0   4   0   4   1   0   0   2   3   3   2   4   2   3   1   4   4   4   0   3   4   1   0   0   4   1   3   1   3   0   2   4   2   4   0   0   3   2   1   1   1   0   3 
3503.000000	      1   4   4   4   4   2   0   1   4   2   4   1   3   1   0   0   2   4   4   0   0   4   1   4   1   3   3   4   0   4   1   0   0   2   2   0   0   3   0   1   3   0   1   2   3   3   3   3   4   3   0   2   3   3   0   1   2   2   1   0   4   1   2   0   4   1   0   2   2   1   3   4   2   3   3   2   2   0   0   2   4   4   1   2   4   2   4   3   3   2   1   2   1   3   1   1   1   4   3   0   3   2   0   0   1   1   2   1   4   3   2   0   4   1   2   3   1   2   2   3   1   4   4   3   0   1   0   1   1   4   1   0   0   0   2   0   4   2   4   0   4   2   1   4   0   1   3   4   2   3   3   3   3   1   3   4   3   0   4   0   4   1   0   0   2   3   3   2   4   2   3   1   4   4   4   0   3   4   1   0   0   4   1   3   1   3   0   2   4   2   4   0   0   3   2   1   1   1   0   3 
3503.000000	      1   4   4   4   4   2   0   1   4   2   4   1   3   1   0   0   2   4   4   0   0   4   1   4   1   3   3   4   0   4   1   0   0   2   2   0   0   3   0   1   3   0   1   2   3   3   3   3   4   3   0   2   3   3   0   1   2   2   1   0   4   1   2   0   4   1   0   2   2   1   3   4   2   3   3   2   2   0   0   2   4   4   1   2   4   2   4   3   3   2   1   2   1   3   1   1   1   4   3   0   3   2   0   0   1   1   2   1   4   3   2   0   4   1   2   3   1   2   2   3   1   4   4   3   0   1   0   1   1   4   1   0   0   0   2   0   4   2   4   0   4   2   1   4   0   1   3   4   2   3   3   3   3   1   3   4   3   0   4   0   4   1   0   0   2   3   3   2   4   2   3   1   4   4   4   0   3   4   1   0   0   4   1   3   1   3   0   2   4   2   4   0   0   3   2   1   1   1   0   3 
3503.000000	      1   4   4   4   4   2   0   1   4   2   4   1   3   1   0   0   2   4   4   0   0   4   1   4   1   3   3   4   0   4   1   0   0   2   2   0   0   3   0   1   3   0   1   2   3   3   3   3   4   3   0   2   3   3   0   1   2   2   1   0   4   1   2   0   4   1   0   2   2   1   3   4   2   3   3   2   2   0   0   2   4   4   1   2   4   2   4   3   3   2   1   2   1   3   1   1   1   4   3   0   3   2   0   0   1   1   2   1   4   3   2   0   4   1   2   3   1   2   2   3   1   4   4   3   0   1   0   1   1   4   1   0   0   0   2   0   4   2   4   0   4   2   1   4   0   1   3   4   2   3   3   3   3   1   3   4   3   0   4   0   4   1   0   0   2   3   3   2   4   2   3   1   4   4   4   0   3   4   1   0   0   4   1   3   1   3   0   2   4   2   4   0   0   3   2   1   1   1   0   3 
3503.000000	      1   4   4   4   4   2   0   1   4   2   4   1   3   1   0   0   2   4   4   0   0   4   1   4   1   3   3   4   0   4   1   0   0   2   2   0   0   3   0   1   3   0   1   2   3   3   3   3   4   3   0   2   3   3   0   1   2   2   1   0   4   1   2   0   4   1   0   2   2   1   3   4   2   3   3   2   2   0   0   2   4   4   1   2   4   2   4   3   3   2   1   2   1   3   1   1   1   4   3   0   3   2   0   0   1   1   2   1   4   3   2   0   4   1   2   3   1   2   2   3   1   4   4   3   0   1   0   1   1   4   1   0   0   0   2   0   4   2   4   0   4   2   1   4   0   1   3   4   2   3   3   3   3   1   3   4   3   0   4   0   4   1   0   0   2   3   3   2   4   2   3   1   4   4   4   0   3   4   1   0   0   4   1   3   1   3   0   2   4   2   4   0   0   3   2   1   1   1   0   3 
3503.000000	      1   4   4   4   4   2   0   1   4   2   4   1   3   1   0   0   2   4   4   0   0   4   1   4   1   3   3   4   0   4   1   0   0   2   2   0   0   3   0   1   3   0   1   2   3   3   3   3   4   3   0   2   3   3   0   1   2   2   1   0   4   1   2   0   4   1   0   2   2   1   3   4   2   3   3   2   2   0   0   2   4   4   1   2   4   2   4   3   3   2   1   2   1   3   1   1   1   4   3   0   3   2   0   0   1   1   2   1   4   3   2   0   4   1   2   3   1   2   2   3   1   4   4   3   0   1   0   1   1   4   1   0   0   0   2   0   4   2   4   0   4   2   1   4   0   1   3   4   2   3   3   3   3   1   3   4   3   0   4   0   4   1   0   0   2   3   3   2   4   2   3   1   4   4   4   0   3   4   1   0   0   4   1   3   1   3   0   2   4   2   4   0   0   3   2   1   1   1   0   3 
3503.000000	      1   4   4   4   4   2   0   1   4   2   4   1   3   1   0   0   2   4   4   0   0   4   1   4   1   3   3   4   0   4   1   0   0   2   2   0   0   3   0   1   3   0   1   2   3   3   3   3   4   3   0   2   3   3   0   1   2   2   1   0   4   1   2   0   4   1   0   2   2   1   3   4   2   3   3   2   2   0   0   2   4   4   1   2   4   2   4   3   3   2   1   2   1   3   1   1   1   4   3   0   3   2   0   0   1   1   2   1   4   3   2   0   4   1   2   3   1   2   2   3   1   4   4   3   0   1   0   1   1   4   1   0   0   0   2   0   4   2   4   0   4   2   1   4   0   1   3   4   2   3   3   3   3   1   3   4   3   0   4   0   4   1   0   0   2   3   3   2   4   2   3   1   4   4   4   0   3   4   1   0   0   4   1   3   1   3   0   2   4   2   4   0   0   3   2   1   1   1   0   3 
3503.000000	      1   4   4   4   4   2   0   1   4   2   4   1   3   1   0   0   2   4   4   0   0   4   1   4   1   3   3   4   0   4   1   0   0   2   2   0   0   3   0   1   3   0   1   2   3   3   3   3   4   3   0   2   3   3   0   1   2   2   1   0   4   1   2   0   4   1   0   2   2   1   3   4   2   3   3   2   2   0   0   2   4   4   1   2   4   2   4   3   3   2   1   2   1   3   1   1   1   4   3   0   3   2   0   0   1   1   2   1   4   3   2   0   4   1   2   3   1   2   2   3   1   4   4   3   0   1   0   1   1   4   1   0   0   0   2   0   4   2   4   0   4   2   1   4   0   1   3   4   2   3   3   3   3   1   3   4   3   0   4   0   4   1   0   0   2   3   3   2   4   2   3   1   4   4   4   0   3   4   1   0   0   4   1   3   1   3   0   2   4   2   4   0   0   3   2   1   1   1   0   3 
3503.000000	      1   4   4   4   4   2   0   1   4   2   4   1   3   1   0   0   2   4   4   0   0   4   1   4   1   3   3   4   0   4   1   0   0   2   2   0   0   3   0   1   3   0   1   2   3   3   3   3   4   3   0   2   3   3   0   1   2   2   1   0   4   1   2   0   4   1   0   2   2   1   3   4   2   3   3   2   2   0   0   2   4   4   1   2   4   2   4   3   3   2   1   2   1   3   1   1   1   4   3   0   3   2   0   0   1   1   2   1   4   3   2   0   4   1   2   3   1   2   2   3   1   4   4   3   0   1   0   1   1   4   1   0   0   0   2   0   4   2   4   0   4   2   1   4   0   1   3   4   2   3   3   3   3   1   3   4   3   0   4   0   4   1   0   0   2   3   3   2   4   2   3   1   4   4   4   0   3   4   1   0   0   4   1   3   1   3   0   2   4   2   4   0   0   3   2   1   1   1   0   3 
1484.000000	      8   3   6   4   9   0   9   7   8   7   6   9   7   9   7   2   1   4   1   4   7   3   0   8   8   2   1   2   5   5   8   2   1   1   4   8   7   2   1   8   0   4   7   6   7   3   5   0   1   0   6   7   2   9   1   7   6   2   5   9   3   4   3   6   5   7   5   4   0   2   7   9   0   9   3   4   6   7   6   5   3   5   6   0   9   0   5   8   0   4   5   7   2   1   6   8   3   3   5   3 
1484.000000	      8   3   6   4   9   0   9   7   8   7   6   9   7   9   7   2   1   4   1   4   7   3   0   8   8   2   1   2   5   5   8   2   1   1   4   8   7   2   1   8   0   4   7   6   7   3   5   0   1   0   6   7   2   9   1   7   6   2   5   9   3   4   3   6   5   7   5   4   0   2   7   9   0   9   3   4   6   7   6   5   3   5   6   0   9   0   5   8   0   4   5   7   2   1   6   8   3   3   5   3 
1484.000000	      8   3   6   4   9   0   9   7   8   7   6   9   7   9   7   2   1   4   1   4   7   3   0   8   8   2   1   2   5   5   8   2   1   1   4   8   7   2   1   8   0   4   7   6   7   3   5   0   1   0   6   7   2   9   1   7   6   2   5   9   3   4   3   6   5   7   5   4   0   2   7   9   0   9   3   4   6   7   6   5   3   5   6   0   9   0   5   8   0   4   5   7   2   1   6   8   3   3   5   3 
1484.000000	      8   3   6   4   9   0   9   7   8   7   6   9   7   9   7   2   1   4   1   4   7   3   0   8   8   2   1   2   5   5   8   2   1   1   4   8   7   2   1   8   0   4   7   6   7   3   5   0   1   0   6   7   2   9   1   7   6   2   5   9   3   4   3   6   5   7   5   4   0   2   7   9   0   9   3   4   6   7   6   5   3   5   6   0   9   0   5   8   0   4   5   7   2   1   6   8   3   3   5   3 
1484.000000	      8   3   6   4   9   0   9   7   8   7   6   9   7   9   7   2   1   4   1   4   7   3   0   8   8   2   1   2   5   5   8   2   1   1   4   8   7   2   1   8   0   4   7   6   7   3   5   0   1   0   6   7   2   9   1   7   6   2   5   9   3   4   3   6   5   7   5   4   0   2   7   9   0   9   3   4   6   7   6   5   3   5   6   0   9   0   5   8   0   4   5   7   2   1   6   8   3   3   5   3 
1484.000000	      8   3   6   4   9   0   9   7   8   7   6   9   7   9   7   2   1   4   1   4   7   3   0   8   8   2   1   2   5   5   8   2   1   1   4   8   7   2   1   8   0   4   7   6   7   3   5   0   1   0   6   7   2   9   1   7   6   2   5   9   3   4   3   6   5   7   5   4   0   2   7   9   0   9   3   4   6   7   6   5   3   5   6   0   9   0   5   8   0   4   5   7   2   1   6   8   3   3   5   3 
1484.000000	      8   3   6   4   9   0   9   7   8   7   6   9   7   9   7   2   1   4   1   4   7   3   0   8   8   2   1   2   5   5   8   2   1   1   4   8   7   2   1   8   0   4   7   6   7   3   5   0   1   0   6   7   2   9   1   7   6   2   5   9   3   4   3   6   5   7   5   4   0   2   7   9   0   9   3   4   6   7   6   5   3   5   6   0   9   0   5   8   0   4   5   7   2   1   6   8   3   3   5   3 
1484.000000	      8   3   6   4   9   0   9   7   8   7   6   9   7   9   7   2   1   4   1   4   7   3   0   8   8   2   1   2   5   5   8   2   1   1   4   8   7   2   1   8   0   4   7   6   7   3   5   0   1   0   6   7   2   9   1   7   6   2   5   9   3   4   3   6   5   7   5   4   0   2   7   9   0   9   3   4   6   7   6   5   3   5   6   0   9   0   5   8   0   4   5   7   2   1   6   8   3   3   5   3 
1484.000000	      8   3   6   4   9   0   9   7   8   7   6   9   7   9   7   2   1   4   1   4   7   3   0   8   8   2   1   2   5   5   8   2   1   1   4   8   7   2   1   8   0   4   7   6   7   3   5   0   1   0   6   7   2   9   1   7   6   2   5   9   3   4   3   6   5   7   5   4   0   2   7   9   0   9   3   4   6   7   6   5   3   5   6   0   9   0   5   8   0   4   5   7   2   1   6   8   3   3   5   3 
1484.000000	      8   3   6   4   9   0   9   7   8   7   6   9   7   9   7   2   1   4   1   4   7   3   0   8   8   2   1   2   5   5   8   2   1   1   4   8   7   2   1   8   0   4   7   6   7   3   5   0   1   0   6   7   2   9   1   7   6   2   5   9   3   4   3   6   5   7   5   4   0   2   7   9   0   9   3   4   6   7   6   5   3   5   6   0   9   0   5   8   0   4   5   7   2   1   6   8   3   3   5   3 
3052.000000	      0   4   4   7   7   9   3   9   5   8   6   3   6   7   9   3   3   4   8   5   9   4   8   6   8   1   7   6   5   7   2   9   6   0   6   6   1   7   8   4   4   8   4   1   8   6   6   3   9   1   7   8   4   2   0   6   7   8   9   3   7   9   3   5   5   2   5   8   2   5   0   0   5   3   1   1   0   6   7   1   1   8   1   7   0   5   2   4   7   2   8   8   0   3   6   6   2   3   8   0   1   3   0   1   5   8   2   9   3   0   3   2   4   6   3   4   7   9   1   4   8   8   9   0   2   5   3   8   6   9   4   9   4   7   5   9   5   5   1   3   3   0   7   0   0   6   5   8   2   5   0   0   7   7   3   0   9   3   9   7   1   8   9   7   1   1   4   1   5   5   9   9   3   5   9   6   3   0   8   6   2   3   4   9   9   6   7   9   4   3   4   1   8   7   7   8   7   6   5   4 
3052.000000	      0   4   4   7   7   9   3   9   5   8   6   3   6   7   9   3   3   4   8   5   9   4   8   6   8   1   7   6   5   7   2   9   6   0   6   6   1   7   8   4   4   8   4   1   8   6   6   3   9   1   7   8   4   2   0   6   7   8   9   3   7   9   3   5   5   2   5   8   2   5   0   0   5   3   1   1   0   6   7   1   1   8   1   7   0   5   2   4   7   2   8   8   0   3   6   6   2   3   8   0   1   3   0   1   5   8   2   9   3   0   3   2   4   6   3   4   7   9   1   4   8   8   9   0   2   5   3   8   6   9   4   9   4   7   5   9   5   5   1   3   3   0   7   0   0   6   5   8   2   5   0   0   7   7   3   0   9   3   9   7   1   8   9   7   1   1   4   1   5   5   9   9   3   5   9   6   3   0   8   6   2   3   4   9   9   6   7   9   4   3   4   1   8   7   7   8   7   6   5   4 
3052.000000	      0   4   4   7   7   9   3   9   5   8   6   3   6   7   9   3   3   4   8   5   9   4   8   6   8   1   7   6   5   7   2   9   6   0   6   6   1   7   8   4   4   8   4   1   8   6   6   3   9   1   7   8   4   2   0   6   7   8   9   3   7   9   3   5   5   2   5   8   2   5   0   0   5   3   1   1   0   6   7   1   1   8   1   7   0   5   2   4   7   2   8   8   0   3   6   6   2   3   8   0   1   3   0   1   5   8   2   9   3   0   3   2   4   6   3   4   7   9   1   4   8   8   9   0   2   5   3   8   6   9   4   9   4   7   5   9   5   5   1   3   3   0   7   0   0   6   5   8   2   5   0   0   7   7   3   0   9   3   9   7   1   8   9   7   1   1   4   1   5   5   9   9   3   5   9   6   3   0   8   6   2   3   4   9   9   6   7   9   4   3   4   1   8   7   7   8   7   6   5   4 
